iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;0.37;2.66597;620.5324324324325%;0.671182;2.31738
2000;4;0.47;4.59113;876.836170212766%;1.220898;4.19618
3000;8;0.65;6.78114;943.2523076923076%;0.9352400000000001;6.42058
4000;8;0.78;8.46285;984.980769230769%;0.982445;8.18086
5000;8;0.88;9.8566;1020.0681818181816%;1.199991;9.53927
6000;16;1.04;12.8419;1134.798076923077%;1.259781;12.5647
7000;16;1.29;15.203;1078.5271317829456%;1.405809;14.912
8000;16;1.33;15.5825;1071.6165413533834%;1.703861;15.1956
9000;16;1.46;17.1887;1077.3082191780823%;1.8339509999999999;16.9091
10000;16;1.62;18.5025;1042.1296296296296%;1.9559149999999998;18.2225
11000;16;1.98;20.5994;940.3737373737373%;2.0396739999999998;20.3042
12000;32;2.24;23.1652;934.1607142857141%;2.238358;22.8234
13000;32;2.03;24.5444;1109.0837438423646%;2.404524;24.1954
14000;32;2.42;26.5351;996.49173553719%;2.5405979999999997;26.2022
15000;32;2.68;27.9705;943.6753731343284%;2.533792;27.6797
16000;32;2.66;29.3872;1004.781954887218%;2.676116;29.1035
17000;32;2.57;30.6521;1092.6887159533076%;2.8081609999999997;30.374
18000;32;2.79;11.7234;320.19354838709677%;3.546623;11.4449
19000;32;2.84;33.7175;1087.2359154929577%;3.169918;33.3857
20000;32;3.24;39.4559;1117.7746913580245%;3.6392439999999997;39.0348
21000;32;3.23;36.2776;1023.1455108359133%;3.553579;35.9212
22000;32;3.25;38.3536;1080.1107692307692%;3.716552;37.9333
23000;32;3.36;39.4674;1074.625%;3.9682690000000003;38.8346
24000;64;3.54;44.1533;1147.268361581921%;4.120563;43.8821
25000;64;3.62;46.4528;1183.2265193370167%;4.2177929999999995;46.1168
26000;64;4.69;55.576;1084.9893390191899%;4.7470490000000005;55.1165
27000;64;4.05;50.4215;1144.9753086419755%;4.664205999999999;50.0939
28000;64;4.61;55.7202;1108.6811279826463%;5.369682;55.2919
29000;64;4.22;53.8348;1175.7061611374409%;5.083872;53.1189
30000;64;4.5;55.5137;1133.6377777777777%;5.06078;55.1806
31000;64;5.06;55.8644;1004.0395256916996%;4.942481;55.4472
32000;64;5.0;56.9158;1038.316%;5.095944;56.5548
33000;64;4.74;59.9963;1165.7447257383965%;5.245535;59.6206
34000;64;5.03;61.7325;1127.286282306163%;5.6305190000000005;61.3995
35000;64;5.71;63.2048;1006.9141856392295%;6.066738;62.7874
