iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;1.71;5.07221;196.62046783625732%;2.103495;4.75018
2000;4;2.98;6.68514;124.33355704697986%;3.5212440000000003;6.39693
3000;8;4.55;11.4495;151.63736263736266%;4.804636;11.0992
4000;8;6.09;14.3489;135.61412151067324%;5.9654490000000004;14.0838
5000;8;7.18;13.7243;91.14623955431756%;7.670523;13.4676
6000;16;8.99;20.5299;128.36373748609566%;9.195228;20.1141
7000;16;10.22;24.0782;135.59882583170253%;10.709092;23.721
8000;16;11.62;24.3767;109.78227194492256%;12.185917;24.0026
9000;16;13.13;27.6087;110.27189642041124%;13.335472;27.2935
10000;16;14.38;29.487;105.05563282336577%;14.629844;29.1263
11000;16;15.73;31.5056;100.28989192625556%;16.232543;31.2248
12000;32;17.08;33.7813;97.78278688524593%;17.551693999999998;33.4788
13000;32;18.62;32.7239;75.74597207303974%;18.822518;32.4366
14000;32;20.02;34.4911;72.2832167832168%;20.196891;34.2194
15000;32;21.79;40.6091;86.36576411197797%;21.764948;40.3304
16000;32;23.08;46.5774;101.80849220103987%;23.059874;46.2937
17000;32;24.18;45.5271;88.28411910669975%;24.463748;45.2404
18000;32;25.61;50.6774;97.881296368606%;25.882042;50.3785
19000;32;27.16;51.3097;88.91642120765832%;27.022531999999998;51.0318
20000;32;28.53;53.0713;86.01927795303189%;28.576135999999998;52.7943
21000;32;29.64;54.5113;83.9112685560054%;30.632962;54.139
22000;32;31.03;55.0184;77.30712213986463%;30.921616;54.7026
23000;32;32.56;66.8759;105.39281326781327%;32.882127;66.5624
24000;64;33.78;57.4632;70.1101243339254%;34.347314000000004;57.0949
25000;64;34.94;63.4617;81.63050944476247%;35.611269;63.1414
26000;64;36.64;70.7334;93.04967248908298%;37.680657000000004;70.4103
27000;64;37.9;62.9708;66.14986807387862%;38.669971999999994;62.5547
28000;64;39.49;74.6718;89.09040263357812%;39.447683000000005;74.2776
29000;64;45.41;86.8038;91.15569257872716%;41.184407;86.4819
30000;64;42.92;89.3575;108.19547996272134%;42.881243;89.0412
31000;64;43.26;55.7666;28.910309754969948%;44.449515;55.4536
32000;64;45.32;80.8948;78.49691085613416%;45.020301;80.5679
33000;64;46.55;82.6121;77.46960257787326%;46.976572000000004;82.3243
34000;64;48.82;84.9124;73.92953707496929%;49.339903;84.5979
35000;64;48.99;95.1407;94.2043274137579%;49.36708;94.8161
36000;64;50.79;85.6415;68.61882260287457%;51.128571;85.2977
37000;64;52.24;86.3354;65.26684532924962%;51.980856;86.0409
38000;64;53.78;76.1767;41.64503532911862%;53.639487;75.8842
39000;64;54.88;80.9528;47.50874635568512%;54.60394;80.6359
40000;64;55.6;95.1456;71.12517985611511%;56.301292000000004;94.8561
41000;64;58.04;95.8825;65.20072363886975%;57.669163;95.6007
42000;64;58.53;100.442;71.60772253545188%;59.543378000000004;100.077
43000;64;60.61;117.667;94.13793103448276%;61.214774;117.386
44000;64;61.68;107.185;73.77594033722438%;62.364242999999995;106.853
45000;64;63.85;80.4649;26.021769772905245%;63.239889;80.1041
46000;64;64.55;101.474;57.2021688613478%;65.423962;101.196
47000;64;65.93;113.414;72.02184134688304%;66.198657;113.101
48000;128;99.58;118.158;18.65635669813216%;66.627132;117.857
49000;128;68.62;125.411;82.76158554357329%;68.40260500000001;125.108
50000;128;69.85;112.638;61.256979241231235%;70.336976;112.315
51000;128;72.12;127.366;76.6028840820854%;72.43412000000001;127.066
52000;128;72.62;124.84;71.90856513357201%;73.186631;124.452
53000;128;75.04;126.293;68.30090618336885%;74.021037;125.954
54000;128;75.89;154.39;103.4391882988536%;77.139215;154.0
55000;128;75.79;147.168;94.1786515371421%;77.772423;146.813
56000;128;77.8;130.979;68.35347043701802%;79.05232699999999;130.587
57000;128;83.57;141.7;69.55845399066651%;82.258397;141.326
58000;128;82.82;100.324;21.13499154793529%;83.645317;99.9405
59000;128;84.44;134.361;59.12008526764566%;85.367644;134.055
60000;128;84.53;166.698;97.20572577783037%;84.838902;166.343
61000;128;88.73;155.681;75.45475036627974%;93.075108;155.281
62000;128;90.8;146.055;60.85352422907491%;91.448073;145.622
63000;128;89.12;121.515;36.34986535008976%;89.063133;121.17
64000;128;89.4;118.238;32.2572706935123%;93.256771;117.908
65000;128;92.48;120.947;30.781790657439444%;93.758918;120.609
66000;128;94.28;156.222;65.70004242681375%;96.12581999999999;155.845
67000;128;94.05;168.437;79.09303561935143%;95.00034;168.103
68000;128;95.73;165.265;72.63658205369265%;96.636247;164.879
69000;128;96.55;185.722;92.35836354220612%;97.881057;185.394
70000;128;97.37;190.59;95.73790695286021%;99.510627;190.251
71000;128;98.9;181.372;83.38928210313449%;100.018801;181.023
72000;128;101.18;114.983;13.642024115437831%;100.925215;114.644
73000;128;102.42;170.189;66.16774067564928%;102.261713;169.832
74000;128;103.16;203.55;97.31485071733232%;103.330634;203.242
75000;128;104.61;188.833;80.51142338208585%;105.324697;188.53
76000;128;105.86;190.958;80.38730398639713%;106.925427;190.631
77000;128;107.37;211.927;97.38008754773213%;107.189411;211.544
78000;128;108.59;192.852;77.59646376277742%;109.234398;192.472
79000;128;110.29;170.276;54.3893372019222%;109.688304;169.856
80000;128;111.85;151.461;35.414394278050985%;113.59682;151.116
81000;128;113.86;203.336;78.58422624275427%;114.395163;203.015
82000;128;114.5;218.639;90.95109170305678%;115.51449500000001;218.26
83000;128;115.85;149.751;29.26283987915409%;118.207496;149.37
84000;128;129.3;178.949;38.398298530549106%;118.915836;178.626
85000;128;118.03;200.555;69.91866474625095%;120.03455000000001;200.227
86000;128;119.81;235.733;96.75569651948919%;121.219008;235.343
87000;128;120.75;204.4;69.27536231884058%;122.840941;204.071
