iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
1000;2;0.23;2.35724;924.886956521739%;0.596553;1.93593
2000;4;0.25;3.97796;1491.184%;0.476234;3.68706
3000;8;0.25;6.14127;2356.508%;0.457591;5.86761
4000;8;0.27;7.3654;2627.9259259259256%;0.534546;7.04698
5000;8;0.3;8.94194;2880.646666666667%;0.631934;8.54247
6000;16;0.34;11.6711;3332.6764705882347%;0.584157;11.3771
7000;16;0.35;13.1837;3666.771428571429%;0.6867620000000001;12.7629
8000;16;0.38;14.6087;3744.394736842105%;0.618426;14.263
9000;16;0.36;15.4057;4179.361111111111%;0.70223;14.9836
10000;16;0.35;17.1012;4786.057142857143%;0.688364;16.7067
11000;16;0.35;18.3247;5135.628571428571%;0.572682;18.0423
12000;32;0.38;22.3838;5790.473684210527%;0.985055;22.0499
13000;32;0.38;23.3445;6043.289473684211%;0.693068;22.9839
14000;32;0.39;24.5055;6183.461538461538%;0.706261;24.147
15000;32;0.41;26.3787;6333.829268292683%;1.177791;25.5731
16000;32;0.42;30.7144;7212.952380952382%;0.674551;30.4132
17000;32;0.84;29.9534;3465.8809523809523%;0.8071109999999999;29.5547
18000;32;0.45;32.6878;7163.955555555556%;1.076141;32.0185
19000;32;0.48;33.1985;6816.354166666669%;0.810966;32.8073
20000;32;0.47;33.0403;6929.8510638297885%;0.823302;32.6455
21000;32;0.52;34.7148;6575.923076923075%;0.7607569999999999;34.389
22000;32;0.54;36.4307;6646.425925925926%;0.834097;36.0526
23000;32;0.51;40.3054;7803.019607843137%;0.811096;39.9999
24000;64;0.53;44.2664;8252.150943396226%;1.145347;43.97
25000;64;0.54;46.2671;8467.98148148148%;1.033574;45.8342
26000;64;0.55;46.593;8371.454545454546%;0.823113;46.2935
27000;64;0.57;49.0724;8509.192982456141%;0.984614;48.6903
28000;64;0.65;57.6149;8763.83076923077%;0.9700010000000001;57.2843
29000;64;0.61;51.0896;8275.34426229508%;0.9511;50.7405
30000;64;0.62;51.6513;8230.854838709678%;0.987906;51.23
31000;64;0.62;53.0656;8458.967741935485%;0.842272;52.785
32000;64;0.65;55.1063;8377.892307692307%;0.906593;54.7873
33000;64;0.64;55.4836;8569.3125%;0.943195;55.1491
34000;64;0.71;57.0392;7933.690140845071%;0.887467;56.7625
35000;64;0.67;59.584;8793.134328358208%;0.901557;59.3073
36000;64;0.72;59.7735;8201.875%;0.934917;59.4979
37000;64;0.7;62.1264;8775.199999999999%;0.913999;61.8572
38000;64;0.77;63.2486;8114.103896103896%;1.018417;62.9126
39000;64;0.74;65.1157;8699.41891891892%;1.086704;64.7206
40000;64;0.79;67.2639;8414.417721518987%;0.993995;66.9756
41000;64;0.77;68.7638;8830.363636363638%;1.353767;68.1114
42000;64;0.83;71.161;8473.614457831325%;1.010348;70.8846
43000;64;0.78;70.933;8993.97435897436%;1.115896;70.5659
44000;64;0.79;72.7431;9107.98734177215%;1.106705;72.3982
45000;64;0.83;73.5771;8764.710843373494%;1.058644;73.2723
46000;64;1.22;75.235;6066.803278688525%;1.116244;74.9174
47000;64;0.89;75.8937;8427.38202247191%;1.108767;75.5887
48000;128;0.87;83.3663;9482.333333333332%;1.187853;82.9726
49000;128;0.9;85.7124;9423.599999999999%;1.2358580000000001;85.3069
50000;128;0.9;88.0038;9678.199999999999%;1.281336;87.6228
51000;128;0.89;88.7167;9868.168539325843%;1.1821540000000001;88.3759
52000;128;0.99;89.9646;8987.333333333336%;1.244575;89.6327
53000;128;0.95;91.2684;9507.2%;1.326279;90.8519
54000;128;0.95;93.1088;9700.926315789473%;1.202739;92.8126
55000;128;0.94;94.3159;9933.606382978724%;1.65405;93.9291
56000;128;1.02;96.7584;9386.117647058823%;1.244049;96.4484
57000;128;1.44;97.9394;6701.3472222222235%;1.285855;97.6002
58000;128;1.01;98.1018;9613.049504950495%;1.3804859999999999;97.6781
59000;128;1.01;99.536;9755.049504950495%;1.295318;99.2172
60000;128;1.01;101.746;9973.861386138613%;1.397621;101.307
61000;128;1.05;103.247;9733.047619047618%;1.3279549999999998;102.955
62000;128;1.05;104.273;9830.761904761905%;1.310674;103.942
63000;128;1.09;107.505;9762.844036697246%;1.315038;107.21
64000;128;1.46;107.992;7296.712328767124%;1.4012559999999998;107.649
65000;128;1.09;108.942;9894.678899082566%;1.308996;108.663
66000;128;1.6;113.517;6994.812499999999%;1.580899;113.111
67000;128;1.18;115.131;9656.864406779661%;1.385022;114.833
68000;128;1.14;115.636;10043.508771929824%;1.4720929999999999;115.279
69000;128;1.14;116.121;10086.052631578947%;1.453223;115.785
70000;128;1.14;115.516;10032.982456140353%;1.5477500000000002;115.129
71000;128;1.2;117.785;9715.416666666666%;1.5513400000000002;117.397
72000;128;1.31;119.482;9020.763358778624%;1.560588;119.104
73000;128;1.19;121.183;10083.445378151262%;1.916503;120.424
74000;128;1.24;121.978;9736.935483870968%;1.520047;121.654
75000;128;1.24;122.689;9794.274193548386%;1.588055;122.264
76000;128;1.37;125.904;9090.072992700729%;1.741446;125.491
77000;128;1.24;126.3;10085.483870967742%;1.6391170000000002;125.873
78000;128;1.32;130.026;9750.454545454546%;1.5428000000000002;129.734
79000;128;1.27;132.397;10324.96062992126%;1.654509;132.016
80000;128;1.28;131.827;10198.984375%;1.615724;131.468
81000;128;1.3;135.447;10318.999999999998%;1.582732;135.118
82000;128;1.43;138.029;9552.377622377622%;2.33852;137.326
83000;128;1.34;134.14;9910.447761194027%;1.5952970000000002;133.823
84000;128;1.38;136.391;9783.40579710145%;1.7135989999999999;136.074
85000;128;1.35;137.667;10097.555555555557%;1.617575;137.373
86000;128;1.37;138.401;10002.262773722627%;1.6813069999999999;138.067
87000;128;1.45;139.858;9545.37931034483%;1.694595;139.53
88000;128;1.43;144.284;9989.79020979021%;1.711288;143.924
89000;128;1.49;146.251;9715.503355704697%;1.72952;145.92
90000;128;1.55;149.556;9548.774193548386%;1.9058439999999999;149.108
91000;128;1.82;145.776;7909.670329670331%;1.66484;145.491
92000;128;1.48;149.448;9997.83783783784%;1.729482;149.15
93000;128;1.5;156.442;10329.466666666667%;1.7472590000000001;156.142
94000;128;1.51;152.273;9984.30463576159%;1.757923;151.981
95000;128;1.58;153.27;9600.632911392404%;1.842278;152.956
96000;256;1.68;172.87;10189.880952380954%;1.843618;172.544
97000;256;1.52;178.629;11651.907894736842%;2.2509639999999997;178.231
98000;256;1.53;171.217;11090.653594771244%;2.217442;170.476
99000;256;1.56;176.037;11184.423076923076%;1.817602;175.727
100000;256;2.02;177.269;8675.69306930693%;2.088177;176.8
101000;256;1.63;175.878;10690.061349693253%;1.933217;175.571
102000;256;2.06;192.516;9245.436893203883%;1.896974;192.163
103000;256;1.65;177.212;10640.121212121212%;1.894631;176.897
104000;256;1.61;192.139;11834.099378881987%;1.9080080000000001;191.801
105000;256;1.63;180.499;10973.55828220859%;1.963107;180.156
106000;256;1.64;185.492;11210.487804878048%;1.9409679999999998;185.178
107000;256;1.66;182.466;10891.927710843374%;2.068909;182.021
108000;256;1.68;186.697;11012.916666666666%;1.991791;186.387
109000;256;1.78;187.592;10438.876404494382%;2.006574;187.255
110000;256;1.7;192.413;11218.411764705885%;2.127011;192.027
111000;256;1.7;189.908;11071.058823529413%;2.126655;189.492
112000;256;2.14;192.993;8918.364485981308%;2.076703;192.638
113000;256;2.24;193.258;8527.589285714284%;2.031062;192.901
114000;256;2.15;192.14;8836.744186046511%;2.200398;191.799
115000;256;2.13;194.528;9032.769953051644%;2.070992;194.207
116000;256;2.12;197.568;9219.245283018869%;2.1744820000000002;197.212
117000;256;1.89;196.841;10314.867724867727%;2.105789;196.505
118000;256;1.84;204.27;11001.630434782608%;2.1061579999999998;203.965
119000;256;1.82;197.916;10774.505494505494%;2.1921980000000003;197.505
120000;256;1.85;200.334;10728.864864864865%;2.147824;200.022
121000;256;2.24;202.603;8944.776785714284%;2.215478;202.259
122000;256;1.87;203.911;10804.331550802139%;2.231138;203.509
123000;256;1.96;210.924;10661.42857142857%;2.206338;210.598
124000;256;1.92;206.304;10645.000000000002%;2.290025;205.873
125000;256;2.32;210.311;8965.129310344828%;2.295631;209.955
126000;256;1.86;210.792;11232.90322580645%;2.96301;209.767
127000;256;1.92;212.069;10945.260416666668%;2.251771;211.761
128000;256;2.0;213.006;10550.3%;2.209691;212.676
129000;256;2.06;214.406;10308.058252427185%;2.260724;214.094
130000;256;2.0;214.49;10624.5%;2.353064;214.092
131000;256;2.02;217.479;10666.287128712871%;2.334886;217.077
132000;256;2.01;219.532;10821.990049751246%;2.695944;219.161
133000;256;2.05;219.904;10627.024390243902%;2.335124;219.58
134000;256;2.44;223.167;9046.188524590165%;2.4265570000000003;222.767
135000;256;2.06;225.01;10822.815533980582%;2.693377;224.698
136000;256;2.09;226.489;10736.794258373206%;2.718819;226.193
137000;256;2.05;227.18;10981.951219512195%;2.383801;226.863
138000;256;2.12;228.461;10676.462264150943%;2.718437;228.149
139000;256;2.14;229.019;10601.822429906542%;2.7666329999999997;228.702
140000;256;2.14;231.999;10741.074766355141%;2.358042;231.65
141000;256;2.17;232.062;10594.101382488481%;2.467301;231.717
142000;256;2.23;233.528;10372.107623318387%;2.442255;233.216
143000;256;2.51;235.087;9266.01593625498%;2.584978;234.778
144000;256;2.2;240.386;10826.636363636364%;2.4786770000000002;240.071
145000;256;2.22;238.59;10647.297297297297%;2.4968779999999997;238.26
146000;256;2.22;238.617;10648.513513513513%;2.4860670000000002;238.296
147000;256;2.6;240.361;9144.653846153846%;2.555933;239.995
148000;256;2.25;243.707;10731.422222222222%;2.471956;243.41
149000;256;2.26;242.886;10647.168141592922%;2.53365;242.538
150000;256;2.34;245.345;10384.82905982906%;2.585961;245.016
151000;256;2.25;245.645;10817.555555555557%;2.54397;245.347
152000;256;2.25;250.219;11020.844444444443%;2.696646;249.815
153000;256;2.3;250.65;10797.826086956522%;2.565096;250.341
154000;256;2.34;253.404;10729.23076923077%;2.6454910000000003;253.025
155000;256;2.71;252.401;9213.69003690037%;3.0010630000000003;251.785
156000;256;2.37;251.857;10526.877637130801%;2.597318;251.541
157000;256;2.43;255.151;10400.041152263375%;2.629185;254.848
158000;256;2.47;257.234;10314.331983805667%;2.771966;256.9
159000;256;2.35;260.211;10972.808510638297%;2.6442799999999997;259.887
160000;256;2.4;258.348;10664.500000000002%;2.712805;258.028
161000;256;2.42;263.055;10770.04132231405%;2.6529160000000003;262.723
162000;256;2.38;263.931;10989.53781512605%;3.073372;263.606
163000;256;2.84;261.974;9124.436619718312%;2.839775;261.519
164000;256;2.58;268.24;10296.899224806202%;2.6996729999999998;267.942
165000;256;2.48;266.391;10641.572580645161%;3.147852;266.055
166000;256;2.92;269.729;9137.294520547945%;2.957052;269.204
167000;256;2.53;269.995;10571.739130434784%;3.1542470000000002;269.639
168000;256;2.51;273.3;10788.446215139444%;2.845569;272.914
169000;256;2.89;271.666;9300.207612456748%;2.807963;271.32
170000;256;2.58;276.748;10626.666666666666%;3.2588280000000003;276.348
171000;256;2.57;274.455;10579.182879377433%;3.225898;273.73
172000;256;2.5;276.661;10966.44%;3.381596;276.205
173000;256;2.56;277.346;10733.828125%;2.847169;277.043
174000;256;2.59;280.336;10723.783783783785%;3.29205;279.995
175000;256;2.57;279.77;10785.992217898833%;3.196581;279.176
176000;256;2.73;282.485;10247.435897435898%;3.008657;282.091
177000;256;2.59;286.43;10959.07335907336%;3.044575;285.999
178000;256;2.68;286.035;10572.94776119403%;2.988337;285.633
179000;256;2.68;286.911;10605.634328358208%;3.146776;286.534
180000;256;2.67;288.589;10708.576779026216%;3.0309609999999996;288.179
